itemkey,itemvalue,itemlink
AAA,"Authentication, Authorization, and Accounting","https://en.wikipedia.org/wiki/Authentication,_authorization,_and_accounting"
AC,Alternating Current,https://en.wikipedia.org/wiki/Alternating_current
ACL,Access Control List,https://en.wikipedia.org/wiki/Access-control_list
ACPI,Advanced Configuration and Power Interface,https://en.wikipedia.org/wiki/ACPI
ADF,Automatic Document Feeder,https://en.wikipedia.org/wiki/Automatic_document_feeder
ADK,Assessment and Deployment Kit (Windows),https://en.wikipedia.org/wiki/Windows_Assessment_and_Deployment_Kit
AES,Advanced Encryption Standard,https://en.wikipedia.org/wiki/Advanced_Encryption_Standard
AFP,Apple Filing Protocol,https://en.wikipedia.org/wiki/Apple_Filing_Protocol
AGP,Accelerated Graphics Port,https://en.wikipedia.org/wiki/Accelerated_Graphics_Port
AIO,"All In One (a.k.a. MFP, MFD)",https://en.wikipedia.org/wiki/Multi-function_printer
AP,(Wireless) Access Point,https://en.wikipedia.org/wiki/Wireless_access_point
API,Application Program Interface,https://en.wikipedia.org/wiki/API
APFS,Apple File System,https://en.wikipedia.org/wiki/Apple_File_System
APIPA,Automatic Private Internet Protocol Addressing (Windows),https://en.wikipedia.org/wiki/Link-local_address
APK,Android Package Kit,https://en.wikipedia.org/wiki/Apk_(file_format)
APN,Access Point Name (Android phone setting),https://en.wikipedia.org/wiki/Access_Point_Name
ARM,Advanced RISC Machine ,https://en.wikipedia.org/wiki/ARM_architecture_family
ARP,Address Resolution Protocol,https://en.wikipedia.org/wiki/Address_Resolution_Protocol
ASCII,American Standard Code for Information Interchange,https://en.wikipedia.org/wiki/ASCII
ATA,Advanced Technology Attachment,https://en.wikipedia.org/wiki/Parallel_ATA
ATM,Asynchronous Transfer Mode,https://en.wikipedia.org/wiki/Asynchronous_Transfer_Mode
ATX,Advanced Technology EXtended,https://en.wikipedia.org/wiki/ATX
AUP,Acceptable Use Policy,https://en.wikipedia.org/wiki/Acceptable_use_policy
AV,Antivirus,https://en.wikipedia.org/wiki/Antivirus_software
BCD,Boot Configuration Data (Windows),https://en.wikipedia.org/wiki/Windows_Boot_Manager#Boot_Configuration_Data
BD-ROM,Blu-ray Disc-Read-Only Memory,https://en.wikipedia.org/wiki/Blu-ray
BIOS,Basic Input/Output System,https://en.wikipedia.org/wiki/BIOS
BSOD,Blue Screen of Death,https://en.wikipedia.org/wiki/Blue_screen_of_death
BYOD,Bring Your Own Device,https://en.wikipedia.org/wiki/Bring_your_own_device
CA,Certificate Authority,https://en.wikipedia.org/wiki/Certificate_authority
CaaS,Containers as a Service,https://www.docker.com/blog/containers-as-a-service-caas/
CAD,Computer-aided Design,https://en.wikipedia.org/wiki/Computer-aided_design
CAM,Computer-Aided Manufacturing,https://en.wikipedia.org/wiki/Computer-aided_manufacturing
CAPTCHA,Completely Automated Public Turing test to tell Computers and Humans Apart,https://en.wikipedia.org/wiki/CAPTCHA
CD,Compact Disc ,https://en.wikipedia.org/wiki/Compact_disc
CDFS,Compact Disc File System,https://en.wikipedia.org/wiki/Compact_Disc_File_System
CD-ROM,Compact Disc-Read-Only Memory,https://en.wikipedia.org/wiki/CD-ROM
CD-RW,Compact Disc-Rewritable,https://en.wikipedia.org/wiki/CD-RW
CDMA,Code-Division Multiple Access,https://en.wikipedia.org/wiki/Code-division_multiple_access
CERT,Computer Emergency Response Team,https://en.wikipedia.org/wiki/Computer_emergency_response_team
CIA,"Confidentiality, Integrity and Availability",https://en.wikipedia.org/wiki/Information_security#Key_concepts
CIFS,Common Internet File System (Microsoft ≈ SMB 1.0),https://en.wikipedia.org/wiki/Server_Message_Block
CMD,Command Prompt (Windows),https://en.wikipedia.org/wiki/Cmd.exe
CMOS,Complementary Metal-Oxide Semiconductor ,https://en.wikipedia.org/wiki/CMOS
CNAME,Canonical Name (DNS),https://en.wikipedia.org/wiki/CNAME_record
CNR,Communications and Networking Riser (outdated),https://en.wikipedia.org/wiki/Communications_and_networking_riser
CPU,Central Processing Unit,https://en.wikipedia.org/wiki/Central_processing_unit
CRL,Certificate Revocation List,https://en.wikipedia.org/wiki/Certificate_revocation_list
CRUD,"Create, Read, Update, Delete","https://en.wikipedia.org/wiki/Create,_read,_update_and_delete"
CSS,Cascading Style Sheets,https://en.wikipedia.org/wiki/CSS
CVE,Common Vulnerabilities and Exposures,https://en.wikipedia.org/wiki/Common_Vulnerabilities_and_Exposures
DaaS,Data as a Service,https://en.wikipedia.org/wiki/Data_as_a_service
DBaaS,Database as a Service,https://en.wikipedia.org/wiki/Cloud_database
DC,Direct Current,https://en.wikipedia.org/wiki/Direct_current
DDoS,Distributed Denial of Service,https://en.wikipedia.org/wiki/Denial-of-service_attack#Distributed_DoS
DDL,Data Definition Language (e.g. SQL CREATE),https://en.wikipedia.org/wiki/Data_definition_language
DDR,Double Data Rate,https://en.wikipedia.org/wiki/DDR_SDRAM
DHCP,Dynamic Host Configuration Protocol,https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol
DIG,Domain Information Groper (dig),https://en.wikipedia.org/wiki/Dig_(command)
DIMM,Dual Inline Memory Module,https://en.wikipedia.org/wiki/DIMM
DKIM,DomainKeys Identified Mail (email),https://en.wikipedia.org/wiki/DomainKeys_Identified_Mail
DLL,Dynamic-Link Library,https://en.wikipedia.org/wiki/Dynamic-link_library
DLP,Data Loss/Leak Prevention,https://en.wikipedia.org/wiki/Data_loss_prevention_software
DML,Data Manipulation Language (e.g. SQL INSERT),https://en.wikipedia.org/wiki/Data_manipulation_language
DMA,Direct Memory Access,https://en.wikipedia.org/wiki/Direct_memory_access
DMARC,"Domain-based Message Authentication, Reporting, and Conformance",https://en.wikipedia.org/wiki/DMARC
DMZ,Demilitarized Zone,https://en.wikipedia.org/wiki/DMZ_(computing)
DNS,Domain Name System ,https://en.wikipedia.org/wiki/Domain_Name_System
DOCSIS,Data Over Cable Service Interface Specification,https://en.wikipedia.org/wiki/DOCSIS
DoS,Denial of Service,https://en.wikipedia.org/wiki/Denial-of-service_attack
DOS,Disk Operating System,https://en.wikipedia.org/wiki/DOS
DRaaS,Disaster Recovery as a Service,https://en.wikipedia.org/wiki/Recovery_as_a_service
DRAM,Dynamic Random-Access Memory,https://en.wikipedia.org/wiki/Dynamic_random-access_memory
