itemkey,itemvalue,itemlink
A,Address,https://en.wikipedia.org/wiki/List_of_DNS_record_types#Resource_records
ACL,Access Control List,https://en.wikipedia.org/wiki/Access-control_list
AH,Authentication Header,https://en.wikipedia.org/wiki/IPsec#Authentication_Header
AP,(Wireless) Access Point,https://en.wikipedia.org/wiki/Wireless_access_point
API,Application Programming Interface,https://en.wikipedia.org/wiki/API
APIPA,Automatic Private Internet Protocol Addressing (IPv4),https://en.wikipedia.org/wiki/Link-local_address
ARP,Address Resolution Protocol,https://en.wikipedia.org/wiki/Address_Resolution_Protocol
AUP,Acceptable Use Policy,https://en.wikipedia.org/wiki/Acceptable_use_policy
BGP,Border Gateway Protocol,https://en.wikipedia.org/wiki/Border_Gateway_Protocol
BNC,Bayonet Neill–Concelman,https://en.wikipedia.org/wiki/BNC_connector
BPDU,Bridge Protocol Data Unit,https://en.wikipedia.org/wiki/Spanning_Tree_Protocol#Bridge_protocol_data_units
BSSID,Basic Service Set Identifier,https://en.wikipedia.org/wiki/Service_set_(802.11_network)
BYOD,Bring Your Own Device,https://en.wikipedia.org/wiki/Bring_your_own_device
CAM,Content-Addressable Memory,https://en.wikipedia.org/wiki/Content-addressable_memory
CDN,Content Delivery Network,https://en.wikipedia.org/wiki/Content_delivery_network
CDP,Cisco Discovery Protocol,https://en.wikipedia.org/wiki/Cisco_Discovery_Protocol
CIA,"Confidentiality, Integrity, and Availability",https://en.wikipedia.org/wiki/Information_security#CIA_triad
CIDR,Classless Inter-domain Routing,https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing
CLI,Command-line Interface,https://en.wikipedia.org/wiki/Command-line_interface
CNAME,Canonical Name (DNS),https://en.wikipedia.org/wiki/CNAME_record
CPU,Central Processing Unit,https://en.wikipedia.org/wiki/Central_processing_unit
CRC,Cyclic Redundancy Check,https://en.wikipedia.org/wiki/Cyclic_redundancy_check
DAC,Direct Attach Copper,https://en.wikipedia.org/wiki/Twinaxial_cabling#Networking_(Direct-Attach_Copper)
DAS,Direct-attached Storage,https://en.wikipedia.org/wiki/Direct-attached_storage
DCI,Data Center Interconnect,https://en.wikipedia.org/wiki/Data_center_interconnect
DDoS,Distributed Denial-of-Service,https://en.wikipedia.org/wiki/Denial-of-service_attack#Distributed_DoS
DHCP,Dynamic Host Configuration Protocol,https://en.wikipedia.org/wiki/Dynamic_Host_Configuration_Protocol
DLP,Data Loss Prevention,https://en.wikipedia.org/wiki/Data_loss_prevention_software
DNS,Domain Name System,https://en.wikipedia.org/wiki/Domain_Name_System
DNSSEC,Domain Name System Security Extensions,https://en.wikipedia.org/wiki/Domain_Name_System_Security_Extensions
DoH,DNS over Hypertext Transfer Protocol Secure,https://en.wikipedia.org/wiki/DNS_over_HTTPS
DoS,Denial-of-Service,https://en.wikipedia.org/wiki/Denial-of-service_attack
DoT,DNS over Transport Layer Security,https://en.wikipedia.org/wiki/DNS_over_TLS
DR,Disaster Recovery,https://en.wikipedia.org/wiki/IT_disaster_recovery
EAPoL,Extensible Authentication Protocol over LAN,https://en.wikipedia.org/wiki/Extensible_Authentication_Protocol#IEEE_802.1X
EIGRP,Enhanced Interior Gateway Routing Protocol,https://en.wikipedia.org/wiki/Enhanced_Interior_Gateway_Routing_Protocol
EOL,End-of-life,https://en.wikipedia.org/wiki/End-of-life_product
EOS,End-of-support,https://en.wikipedia.org/wiki/End-of-life_product
ESP,Encapsulating Security Payload,https://en.wikipedia.org/wiki/IPsec#Encapsulating_Security_Payload
ESSID,Extended Service Set Identifier,https://en.wikipedia.org/wiki/Service_set_(802.11_network)#Extended_service_set
EULA,End-User License Agreement,https://en.wikipedia.org/wiki/End-user_license_agreement
FC,Fibre Channel,https://en.wikipedia.org/wiki/Fibre_Channel
FEP,Flourinated Ethylene Polymer,https://en.wikipedia.org/wiki/Plenum_cable
FHRP,First Hop Redundancy Protocol,https://en.wikipedia.org/wiki/First-hop_redundancy_protocol
FTP,File Transfer Protocol,https://en.wikipedia.org/wiki/File_Transfer_Protocol
